text_to_classify,predicted_code,predicted_label,prediction_probability
learned control headaches over counter meds excedrin migraine,9007,Neurological other System,0.43
loss feeling pinky ring finger thumb numbness slowly moving wrist toward forearm,8995,Musculoskeletal - Hand,0.86
knee locks going downstairs,8997,Musculoskeletal - Knee,1.0
ringing ear,3140,Hearing Loss,0.88
migraine headaches,9007,Neurological other System,0.71
restless legs syndrome,9007,Neurological other System,0.37
degenerative disc disease spinal stenosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.84
foot arthritis degenerative other post traumatic,8994,Musculoskeletal - Foot,0.62
foot plantar fasciitis tendinitis enthesophyte,8994,Musculoskeletal - Foot,1.0
urinary tract issues infections urination kidney stones,8975,Genitourinary,0.99
joint,9001,Musculoskeletal - Other,0.29
got dignosed sleep apnea hospital castle point given cpap machine been falling asleep job multiple times been warned feeling tired fatigued while serving young understand what from,9012,Respiratory,0.42
bulging disc lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
leukemia cll,8939,Cancer - Hemic and Lymphatic,0.89
esophagitis,8968,Digestive,0.71
minor bulging lower back vertebrae,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.78
deterioration hip both,8996,Musculoskeletal - Hip,0.73
loss fine motor control legs,8989,Mental Disorders,0.15
pelvic floor dysfunction,8978,Gynecological,0.31
asymmetrical loading hip,8996,Musculoskeletal - Hip,1.0
general thigh,8988,Leg Condition - Neurological other System,0.1
back knee,8997,Musculoskeletal - Knee,0.7
inner thigh adductor,9001,Musculoskeletal - Other,0.12
hip weakness,8996,Musculoskeletal - Hip,0.84
hip instability,8996,Musculoskeletal - Hip,0.97
insomnia,8989,Mental Disorders,0.95
environmental exposure,9012,Respiratory,0.23
dominant shoulder strain claimed joint,9002,Musculoskeletal - Shoulder,0.98
degenerative disc disease lumbar spine intervertebral disc syndrome lumbar spinal fusion surgery,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
non dominant shoulder bicipital tendonitis claimed joint,9002,Musculoskeletal - Shoulder,0.93
insomnia,8989,Mental Disorders,0.95
bruxism,8967,Dental and Oral,0.55
vertigo,8969,Ear Disease and Other Sense Organs,0.83
diverticulotus,8989,Mental Disorders,0.1
adhesive capsulitis shoulder,9002,Musculoskeletal - Shoulder,0.77
restless leg syndrome,8988,Leg Condition - Neurological other System,0.47
limitation extension knee,8997,Musculoskeletal - Knee,0.99
limitation flexion knee,8997,Musculoskeletal - Knee,0.99
insomnia,8989,Mental Disorders,0.95
degenerative arthritis,8992,Musculoskeletal - Arthritis,0.68
fracture toes,249482,Musculoskeletal - Bones,0.12
flat feet,8994,Musculoskeletal - Foot,0.19
obesity,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.21
diarrhea,8968,Digestive,0.94
insomnia,8989,Mental Disorders,0.95
gall bladder removal,8968,Digestive,0.58
premenstral dysphoric disorder,8989,Mental Disorders,0.86
oligomenorrhea,8989,Mental Disorders,0.1
papillary carcinoma thyroid cancer,8933,Cancer - Endocrine,0.66
barretts esophagus,8968,Digestive,0.85
sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.49
lateral hearing loss,3140,Hearing Loss,0.98
arthritis spine cervical thoracic lumbar,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.58
nocturia,8975,Genitourinary,0.67
severe sleep apnea,9012,Respiratory,0.92
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
rotoscoliosis,8989,Mental Disorders,0.1
painful joints,9001,Musculoskeletal - Other,0.11
skin lesions dermatitus,9016,Skin,0.93
high cholestrol,8979,Heart/Veins/Arteries,0.56
unmotivated,8989,Mental Disorders,0.1
anti social disorder,8989,Mental Disorders,0.79
bad dreams,8989,Mental Disorders,0.12
insomnia,8989,Mental Disorders,0.95
restless leg syndrome,8988,Leg Condition - Neurological other System,0.47
snoring,9012,Respiratory,0.87
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
pact act,9012,Respiratory,0.5
ulnar nerve entrapment,9006,Neurological - Cranial/Peripheral Nerves,0.36
sleep walking,9012,Respiratory,0.46
wake from sleep,8989,Mental Disorders,0.6
falling asleep,8989,Mental Disorders,0.47
toe fungus,9016,Skin,0.59
polyp,8968,Digestive,0.22
night tremors,8989,Mental Disorders,0.66
skin rashes,9016,Skin,0.93
sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.49
arthritis lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.86
bone spur,249482,Musculoskeletal - Bones,0.29
arthritis ankle,8991,Musculoskeletal - Ankle,0.93
lumbosacral strain degenerative disc disease degenerative arthritis lumbar spondylosis convex lumbar scoliosis status post discectomy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),1.0
spinal stenosis previously rated degenerative arthritis thoracolumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.86
degenerative disk disease,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.58
reoccurring migraines,9012,Respiratory,0.12
big toe limited mobility,8994,Musculoskeletal - Foot,0.63
bent bone hand,8995,Musculoskeletal - Hand,0.75
hand numbness,9006,Neurological - Cranial/Peripheral Nerves,0.45
hand finger numbness,8995,Musculoskeletal - Hand,0.92
voice loss,9012,Respiratory,0.57
rib,249482,Musculoskeletal - Bones,0.35
wrist numbness,9004,Musculoskeletal - Wrist,0.61
wrist numbness,9004,Musculoskeletal - Wrist,0.61
acute liver damage,8968,Digestive,0.52
cough,9012,Respiratory,0.96
chest,8979,Heart/Veins/Arteries,0.49
toe numbness,9006,Neurological - Cranial/Peripheral Nerves,0.44
toes numbness,9006,Neurological - Cranial/Peripheral Nerves,0.52
hypervigilance,8989,Mental Disorders,0.1
homicidal ideation,8989,Mental Disorders,0.69
intermittent explosive disorder,8989,Mental Disorders,0.62
insomnia,8989,Mental Disorders,0.95
anger outburst,8989,Mental Disorders,0.77
lumbosacral strain segmental dysfunction lumbar pelvic regions,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.75
knee extension,8997,Musculoskeletal - Knee,0.99
knee limitation rotation,8997,Musculoskeletal - Knee,0.91
knee limitation flexion,8997,Musculoskeletal - Knee,0.99
knee extension,8997,Musculoskeletal - Knee,0.99
knee limitation rotation,8997,Musculoskeletal - Knee,0.91
knee limitation flexion,8997,Musculoskeletal - Knee,0.99
lumbosacral strain degenerative arthritis spine scoliosis lumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.99
ingrown toe nails,9016,Skin,0.47
heat rash,9016,Skin,0.81
sleep disturbance,8989,Mental Disorders,0.87
sharp down leg,8988,Leg Condition - Neurological other System,0.16
constipation,8968,Digestive,0.93
auditory neuropathy spectrum disorder,9007,Neurological other System,0.35
malocclusion jaw,249481,Dental and Oral - Musculoskeletal,0.57
generalized anxiety disorder gad depression,8989,Mental Disorders,1.0
hyper vigilance,8989,Mental Disorders,0.32
panic attacks,8989,Mental Disorders,0.92
ritualistic behaviors,8989,Mental Disorders,0.1
suicidal ideations,8989,Mental Disorders,0.83
night terrors flashbacks,8989,Mental Disorders,0.66
insomnia,8989,Mental Disorders,0.95
sleep disturbances,8989,Mental Disorders,0.6
toxic exposure enviromental occupational,9012,Respiratory,0.44
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
insomnia,8989,Mental Disorders,0.95
military sexual trauma disorder,8989,Mental Disorders,0.51
lumbar strain claimed back strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
cervical spine strain claimed back,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.9
insomnia,8989,Mental Disorders,0.95
vertigo,8969,Ear Disease and Other Sense Organs,0.83
head injury,9020,Traumatic Brain Injury,0.77
inflammation limbo sacral,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.12
limitation motion,8997,Musculoskeletal - Knee,0.13
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
radiculopathy nerve radiating down both legs,9006,Neurological - Cranial/Peripheral Nerves,0.64
scar status post trigonum resection,9013,Scars (Extremities and Trunk),0.6
cervical spine strain claimed stiffness neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.99
shortness breath,9012,Respiratory,0.99
achalasia cardiospasm,8989,Mental Disorders,0.1
ear wax,8969,Ear Disease and Other Sense Organs,0.55
night terror,8989,Mental Disorders,0.76
adhd,8989,Mental Disorders,0.9
insomnia,8989,Mental Disorders,0.95
insomnia,8989,Mental Disorders,0.95
knee extension,8997,Musculoskeletal - Knee,0.99
knee flexion,8997,Musculoskeletal - Knee,0.99
levoscoliosis upper thoracic lumbosacral strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.79
insomnia,8989,Mental Disorders,0.95
ulnar nerve elbow,8993,Musculoskeletal - Elbow,0.69
joint pains knees arms cervical lumbar,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.29
bronchospasm,8989,Mental Disorders,0.1
brachial neuritis,9006,Neurological - Cranial/Peripheral Nerves,0.45
degenerative arthritis,8992,Musculoskeletal - Arthritis,0.68
arm strain,8929,Arm Condition - Neurological other System,0.26
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
conjunctuvitis,8989,Mental Disorders,0.1
dizziness,8969,Ear Disease and Other Sense Organs,0.63
tonsilitis,8989,Mental Disorders,0.1
flat foot on,8994,Musculoskeletal - Foot,0.95
bruxism,8967,Dental and Oral,0.55
eye sight,8974,Eye (Vision),0.99
sinus conditon,9012,Respiratory,0.69
pre diabetes,8973,Endocrine,0.97
thrombophlebitis varicose veins,8979,Heart/Veins/Arteries,0.53
upper extremity diabetic neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.86
urination,8975,Genitourinary,0.76
acneiform dermatitis,9016,Skin,0.98
low testosteroine testicular hypofunction,8975,Genitourinary,0.89
cervical spine spasms,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.96
loss libido erectile dysfunction,8975,Genitourinary,0.92
knee inflammation instability,8997,Musculoskeletal - Knee,0.93
foot problems,8994,Musculoskeletal - Foot,0.96
obstructive sleep apnea,9012,Respiratory,0.99
neoplasms rectum,8968,Digestive,0.48
severe hip discomfort,8996,Musculoskeletal - Hip,0.62
toe hallux,8994,Musculoskeletal - Foot,0.98
hearing sensitivities tones,3140,Hearing Loss,1.0
occasional foot,8994,Musculoskeletal - Foot,0.96
swelling extremities,9012,Respiratory,0.09
knees,8989,Mental Disorders,0.1
chest pleural thickening,9012,Respiratory,0.83
lumbar radiculopathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.64
knee quadriceps tendinitis,8997,Musculoskeletal - Knee,0.95
essential hypertension,8979,Heart/Veins/Arteries,0.9
cervical radiculopathy,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.54
lumbar spine stenosis degenerative disc disease spondylosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
residual scar status post knee surgery,9013,Scars (Extremities and Trunk),0.8
herniated nucleus pulposus cervical spine,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.43
calcified pulmonary nodules,9012,Respiratory,0.85
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
psoriatic arthritis,8992,Musculoskeletal - Arthritis,0.62
enter your toxic exposure chemicals,9012,Respiratory,0.44
insomnia,8989,Mental Disorders,0.95
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
sinus headache,9007,Neurological other System,0.55
hearing sensitivities tones,3140,Hearing Loss,1.0
occasional foot,8994,Musculoskeletal - Foot,0.96
swelling extremities,9012,Respiratory,0.09
knees,8989,Mental Disorders,0.1
radiating sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.62
radiating sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.62
knee crepitus,8997,Musculoskeletal - Knee,0.75
knee crepitus,8997,Musculoskeletal - Knee,0.75
patella chondromalacia,8997,Musculoskeletal - Knee,0.7
patella chondromalacia,8997,Musculoskeletal - Knee,0.7
loss consciousness,3140,Hearing Loss,0.46
siezures,8989,Mental Disorders,0.1
cervical spine degenerative arthritis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.81
unspecified hallucinogen related disorder,8989,Mental Disorders,0.87
self harm,8989,Mental Disorders,0.1
tear film insufficiency eyes,8979,Heart/Veins/Arteries,0.11
meibomian gland dysfunction lower eyelid,8975,Genitourinary,0.18
meibomian gland dysfunction lower eyelid,8975,Genitourinary,0.18
alcohol disorder severe,8989,Mental Disorders,0.78
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
bone fracture,249482,Musculoskeletal - Bones,0.73
cartilage glenohumeral joint tear shoulder,9002,Musculoskeletal - Shoulder,0.92
glenohumeral joint chondromalacia subchondral cysts shoulder,9002,Musculoskeletal - Shoulder,0.91
alcohol dependence,8989,Mental Disorders,0.7
mst,None,,0.39
insomnia,8989,Mental Disorders,0.95
alcohol disorder,8989,Mental Disorders,0.81
sleep apena,8989,Mental Disorders,0.6
aniexity,8989,Mental Disorders,0.1
lumbosacral strain claimed back lower,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
squamous cell carcinoma,1250,Cancer - Skin,0.64
thumb injury,8995,Musculoskeletal - Hand,0.89
obstructive lung disease,9012,Respiratory,0.98
folliculitis,9016,Skin,0.87
chondrodermatitis ear,8969,Ear Disease and Other Sense Organs,0.55
chest,8979,Heart/Veins/Arteries,0.49
shoulders,8989,Mental Disorders,0.1
radiculopathy arms hands fingers,9006,Neurological - Cranial/Peripheral Nerves,0.6
appendectomy,8968,Digestive,0.47
schizoaffective,8989,Mental Disorders,0.53
claustrophobia,8989,Mental Disorders,0.59
osgood schlatters disease,8997,Musculoskeletal - Knee,0.15
graves disease eye disorder,8974,Eye (Vision),0.91
graves disease hyperthyroidism,8973,Endocrine,0.79
graves disease,8979,Heart/Veins/Arteries,0.15
insomnia,8989,Mental Disorders,0.95
tinnitus hearing loss nexk strain ptsd high blod pressure ankylosis knee severe both feet swelling stomach eat properly uper lower back,3140,Hearing Loss,0.34
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
degenerative arthritis degenerative disc disease other intervertebral disc syndrome ivds scoliosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.93
discectomy l s back herniated discs,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.94
thoralumbar intervertebral disc syndrome,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.53
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
degenerative arthritis disc bulging spinal stenosis annular tear thoracolumbar spine claimed ddd myalgia myositis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.93
vertigo,8969,Ear Disease and Other Sense Organs,0.83
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
internal hemorrhoids,8968,Digestive,0.17
fatigue syndrome cfs fibromyalgia,9007,Neurological other System,0.52
carpal tunnel,9006,Neurological - Cranial/Peripheral Nerves,0.67
hiatal hernia iheartburn chest,8968,Digestive,0.62
muscle tension,9005,Musculoskeletal and Muscle Injuries,0.29
spondylolisthesis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.38
sciatica lumbar radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.6
insomia,8989,Mental Disorders,0.1
vertigo menieres disease,8969,Ear Disease and Other Sense Organs,0.79
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
g p,8989,Mental Disorders,0.1
lower leg swelling,8987,Leg Condition - Heart/Veins/Arteries,0.33
vision loss,8974,Eye (Vision),0.98
contact dermatitis,9016,Skin,0.93
shortness breath,9012,Respiratory,0.99
acute pharyngitis,9012,Respiratory,0.58
proteinuria,8989,Mental Disorders,0.1
manic depression ptsd bipolar sever anxiety,8989,Mental Disorders,0.99
numbness,9006,Neurological - Cranial/Peripheral Nerves,0.52
leg,8988,Leg Condition - Neurological other System,0.46
obstructive sleep apnea,9012,Respiratory,0.99
acquired psychiatric disorder include ptsd,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.49
insomnia,8989,Mental Disorders,0.95
idiopathic hypersomnia,8989,Mental Disorders,0.41
facial ear,8969,Ear Disease and Other Sense Organs,0.3
headaches migraines migraine variant,9007,Neurological other System,0.83
foot possible plantar fasciitis,8994,Musculoskeletal - Foot,0.98
hand possible carpel tunnel,9006,Neurological - Cranial/Peripheral Nerves,0.54
equilibrium possible vertigo,8969,Ear Disease and Other Sense Organs,0.47
upper gi possible gerd,8968,Digestive,0.84
spinal possible scoliosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.73
vericose vein lower extremities,8979,Heart/Veins/Arteries,0.66
eating disorder under eating,8970,Eating Disorders,0.84
loss creative organ,8975,Genitourinary,0.48
herpes cold sores on mouth,9016,Skin,0.36
tmj bruxism nightguard,8967,Dental and Oral,0.54
sleep disturbances possible insomnia apnea etc,9012,Respiratory,0.8
lumbar spine strain disc narrowing transitional s,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
toxic exposure,9012,Respiratory,0.44
electromagnetic radiation exposure,9012,Respiratory,0.33
obstructive sleep apnea,9012,Respiratory,0.99
burn pit exposure from iraq deployment,9012,Respiratory,0.46
elevated blood pressure,8979,Heart/Veins/Arteries,0.83
lattice degeneration retina eye,8974,Eye (Vision),0.99
back shoulder blade,9002,Musculoskeletal - Shoulder,0.68
keloid,9016,Skin,0.35
patellofemoral syndrome osteoarthritis knee,8997,Musculoskeletal - Knee,0.99
patellofemoral syndrome osteoarthritis knee,8997,Musculoskeletal - Knee,0.99
sciatica nerve,9006,Neurological - Cranial/Peripheral Nerves,0.81
dumping syndrome post nissen fundoplication,8968,Digestive,0.1
reoccurring ingrown toenail,9016,Skin,0.54
shoulder mobility,9002,Musculoskeletal - Shoulder,0.93
loss range motion wrist injury before joining military that evaluated time recruitment reinjured wrist service period made injury,9004,Musculoskeletal - Wrist,0.68
degenerative disc disease lumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
obstructive sleep apnea,9012,Respiratory,0.99
dorsalgia unspecified,8989,Mental Disorders,0.39
other dorsalgia,8989,Mental Disorders,0.1
thoracic radiculopathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.69
thoracic spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.89
finger,8995,Musculoskeletal - Hand,0.95
stroke,9007,Neurological other System,0.33
insomnia,8989,Mental Disorders,0.95
cervical strain claimed neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.99
knee extension,8997,Musculoskeletal - Knee,0.99
knee limitation rotation,8997,Musculoskeletal - Knee,0.91
knee limitation flexion,8997,Musculoskeletal - Knee,0.99
mood swings,8989,Mental Disorders,0.81
fatigue,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.52
bad breath,9012,Respiratory,0.75
insomnia,8989,Mental Disorders,0.95
asbestos respiratory,9012,Respiratory,1.0
increase sinusitis,9012,Respiratory,0.89
lower back strain lumbosacral strain sitting often occurs more often then numbness tingling mentioned other been issue longer but wasnt sure how address,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.92
numbness tingling from hip ankle sitting sometimes never filed before cause didnt start until last trying already correct mislabeled knee time dont know what call,9006,Neurological - Cranial/Peripheral Nerves,0.35
insomnia caused tinnitus starting filed incorrectly primary its own incorrectly instead being,8989,Mental Disorders,0.67
insomnia,8989,Mental Disorders,0.95
colorectal cancer colon cancer terminal,8932,Cancer - Digestive,0.94
degenerative arthritis spine intervertebral disc syndrome,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.75
noticed physical bone sprue on foot,8994,Musculoskeletal - Foot,0.49
next asbestos exposure been affects breathing part our bearing heater gloves our brakes,9012,Respiratory,0.97
exposure hydraulic fluid very inexpensive caused skin fear future sickness,9016,Skin,0.38
mil engine oil added skin,9016,Skin,0.77
deals engine fuel jp tech on engine unit we exp oure,9012,Respiratory,0.12
next items are listed under pact act,9012,Respiratory,0.5
stage four arthritis both hands pounding holding pins on engine hours swing wrench,8989,Mental Disorders,0.18
bone spear on foot noted seperation but action taken now very bad,8994,Musculoskeletal - Foot,0.49
exposed hydrazine,9012,Respiratory,0.29
psoriasis from long exposure jp mil mek trico ethylene,9016,Skin,0.76
radiculopathy lower extremity femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
radiculopathy lower extremity femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
radiculopathy lower extremity sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
radiculopathy lower extremity sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
thoracolumbar spondylosis arthritis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.74
adjustment disorder mixed anxiety depressed mood,8989,Mental Disorders,0.99
trace knee joint effusion,8997,Musculoskeletal - Knee,0.96
sleep impairment insomnia,8989,Mental Disorders,0.96
lumbar spine degenerative disc disease,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
cervical spine degenerative disc disease,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.88
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
lower extremity radiculopathy femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
lower extremity radiculopathy femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
rotation knee,8997,Musculoskeletal - Knee,0.86
knee limitation flexion,8997,Musculoskeletal - Knee,0.99
seborrheic dermatitis,9016,Skin,0.97
skin conditions,9016,Skin,0.93
deteriorated spinal disc,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.89
insomnia,8989,Mental Disorders,0.95
irritable bowel syndrome ibs gurd barretts esophagus,8968,Digestive,1.0
hearing loss progressively worsening,3140,Hearing Loss,0.93
tinnitus ringing hissing ears swirling sound declared on exit physcial,3140,Hearing Loss,0.9
cervical spine strain,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.98
av block,8979,Heart/Veins/Arteries,0.83
psychiatric neurological cognitive diabetic pcos liver disorder ulcerative colitis,8968,Digestive,0.61
floaters eyes,8989,Mental Disorders,0.1
physical fatigue,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.23
mental fatigue,8989,Mental Disorders,0.9
high stress,8989,Mental Disorders,0.44
blood ejaculation,8979,Heart/Veins/Arteries,0.65
numbness feet,9006,Neurological - Cranial/Peripheral Nerves,0.52
tingling hands feet,9006,Neurological - Cranial/Peripheral Nerves,0.4
balloon butt feeling,9006,Neurological - Cranial/Peripheral Nerves,0.24
sinus issues,9012,Respiratory,0.96
sleep,8989,Mental Disorders,0.6
chondromalacia knee,8997,Musculoskeletal - Knee,0.98
tinnitus ptsd hypertension migraines,8979,Heart/Veins/Arteries,0.58
lumbosacral strain sacroiliitis scoliosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.99
hazardous chemicals material exposure,9012,Respiratory,0.39
severe insomnia,8989,Mental Disorders,0.82
sleep insomnia,8989,Mental Disorders,0.96
cervical radiculopathy,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.54
scapulohumeral articulation ankylosis shoulder joint,9002,Musculoskeletal - Shoulder,0.96
other deformities toe acquired foot,8994,Musculoskeletal - Foot,0.98
hypogonadism,8975,Genitourinary,0.59
tonsil stones,9012,Respiratory,0.29
segmental somatic dysfunction pelvic region,9001,Musculoskeletal - Other,0.14
other deformities toe acquired foot,8994,Musculoskeletal - Foot,0.98
shoulder shoulder blade,9002,Musculoskeletal - Shoulder,0.99
aphthous stomatitis,8989,Mental Disorders,0.1
exercise induced asthma,9012,Respiratory,0.96
wrist weakness range motion,9004,Musculoskeletal - Wrist,0.6
urination,8975,Genitourinary,0.76
hamstring tear,9005,Musculoskeletal and Muscle Injuries,0.61
big toe range motion,8994,Musculoskeletal - Foot,0.45
loss part skull,8989,Mental Disorders,0.11
cholesteatoma,8989,Mental Disorders,0.1
eustachian tube dysfunction,8969,Ear Disease and Other Sense Organs,0.63
scars knee,8997,Musculoskeletal - Knee,1.0
teeth grinding,8967,Dental and Oral,0.75
essential tremor,9007,Neurological other System,0.55
