text_to_classify,predicted_code,predicted_label,prediction_probability
degenerative disc disease intervertebral disc syndrome,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.75
degenerative disc disease intervertebral disc syndrome,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.75
status post orchiectomy orchiopexy,8968,Digestive,0.12
lumbosacral spine strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
allergic rhinitis epistaxis,9012,Respiratory,0.97
sciatica lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.54
carpal tunnel syndrome upper extremity,9006,Neurological - Cranial/Peripheral Nerves,0.83
leishmanisiasis,8989,Mental Disorders,0.1
,8989,Mental Disorders,0.1
cervicalgia spondylosistesis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.78
acid reflux nausea,8968,Digestive,0.98
leg radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.51
nerve damage leg,9006,Neurological - Cranial/Peripheral Nerves,0.56
insomnia disorder,8989,Mental Disorders,0.98
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
lymphadenopathy,8989,Mental Disorders,0.1
prostate cancer kidney cancer non hodgkins lymphoma cancer,8935,Cancer - Genitourinary,0.67
fatigue syndrome cfs fibromyalgia,9007,Neurological other System,0.52
carpal tunnel,9006,Neurological - Cranial/Peripheral Nerves,0.67
hiatal hernia iheartburn chest,8968,Digestive,0.62
muscle tension,9005,Musculoskeletal and Muscle Injuries,0.29
spondylolisthesis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.38
sciatica lumbar radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.6
insomia,8989,Mental Disorders,0.1
vertigo menieres disease,8969,Ear Disease and Other Sense Organs,0.79
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
posttraumatic stress disorder,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.44
torn hamstring,9005,Musculoskeletal and Muscle Injuries,0.39
muscle spasms,9005,Musculoskeletal and Muscle Injuries,0.6
herniated disc,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.76
allergic conjunctivitis,8974,Eye (Vision),0.72
eye corneal scar chemical burn residual,8974,Eye (Vision),0.74
shoulder adhesive capsulitis sub acromial impingement,9002,Musculoskeletal - Shoulder,0.87
shoulder strain rotator cuff tendinopathy,9002,Musculoskeletal - Shoulder,1.0
lumbar radiculopathy lower extremity,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.75
thoracolumbar strain degenerative changes,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.86
cervical radiculopathy upper extremity,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.84
cervical radiculopathy upper extremity,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.84
cervical spondylosis c c disc herniation,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.79
costochondral,8989,Mental Disorders,0.1
foot neuroma excision residual scar,9013,Scars (Extremities and Trunk),0.47
heel fracture residuals,8994,Musculoskeletal - Foot,0.84
knee acl tear instability,8997,Musculoskeletal - Knee,1.0
hip strain,8996,Musculoskeletal - Hip,0.99
hip strain,8996,Musculoskeletal - Hip,0.99
mixed urinary incontinence,8975,Genitourinary,0.78
irritable bowel syndrome constipation predominant,8968,Digestive,0.97
gastroesophageal reflux disease without esophagitis,8968,Digestive,0.95
benign paroxysmal positional vertigo,8969,Ear Disease and Other Sense Organs,0.77
migraine aura,9007,Neurological other System,0.62
coronary artery disease angina anterior descending lad artery stenosis,8979,Heart/Veins/Arteries,0.98
obstructive sleep apnea,9012,Respiratory,0.99
depressive disorder recurrent,8989,Mental Disorders,0.91
benign paroxysmal positional vertigo bppv claimed dizziness,8969,Ear Disease and Other Sense Organs,0.95
leg,8988,Leg Condition - Neurological other System,0.46
degenerative disc facet joint disease lumbosacrum,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.83
radiculopathy lower extrimity sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.75
dry eyes,8974,Eye (Vision),0.4
alcohol disorder,8989,Mental Disorders,0.81
ppi gerd,8968,Digestive,0.98
esophageal dysmotility,8968,Digestive,0.89
gastritis gastric foveolar hyperplasia,8968,Digestive,0.93
erosive esophagitis la grade,8968,Digestive,0.57
hepaptic steatosis fatty liver,8968,Digestive,0.79
neck shoulder possibly related service connected ankle foot problems anxiety stress,8989,Mental Disorders,0.77
hip possibly related service connected ankle foot problems,8996,Musculoskeletal - Hip,0.22
knee possibly related service connected ankle foot problems,8997,Musculoskeletal - Knee,0.21
claw foot pes cavus request increased rating,8994,Musculoskeletal - Foot,0.78
ankle sprain request increased rating,8991,Musculoskeletal - Ankle,0.48
ankle sprain request increased rating,8991,Musculoskeletal - Ankle,0.48
restless leg syndrome,8988,Leg Condition - Neurological other System,0.47
vasovagal syncope,8979,Heart/Veins/Arteries,0.37
allergic rhinitis request increased rating,9012,Respiratory,0.73
pes cavus claimed talipes cavus,8994,Musculoskeletal - Foot,0.3
recurrent ankle deltoid ligament sprain claimed ankle djd tendonitis peroneal,8991,Musculoskeletal - Ankle,0.99
recurrent ankle deltoid ligament sprain claimed ankle djd tendonitis peroneal,8991,Musculoskeletal - Ankle,0.99
acute sinusitis resolved,9012,Respiratory,0.79
sleep insomina,8989,Mental Disorders,0.6
elbow hand nerve,9006,Neurological - Cranial/Peripheral Nerves,0.41
residuals stress fractire leg,8997,Musculoskeletal - Knee,0.3
exercise induced asthma,9012,Respiratory,0.96
cesarean scar,9013,Scars (Extremities and Trunk),0.85
vertigo,8969,Ear Disease and Other Sense Organs,0.83
post traumatic stress disorder depressive disorder generalized anxiety disorder alcohol disorder,8989,Mental Disorders,0.83
sleep issues,8989,Mental Disorders,0.6
anal fissures,8968,Digestive,0.53
adjustment disorder panic attacks aggravated military sexual harassment mst documented sharp report,8989,Mental Disorders,0.82
knee dysfunction lateral initially treated band syndrome unresolved,8997,Musculoskeletal - Knee,0.93
foot fracture tarsal metatarsal fracture residual,8994,Musculoskeletal - Foot,0.97
adjustment disorder anxiety panic attacks ongoing requiring continuous medication,8989,Mental Disorders,0.98
posttraumatic stress disorder ptsd,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.66
lumbosacral strain degenerative disc disease,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
pact act,9012,Respiratory,0.5
knee patellofemoral syndrome,8997,Musculoskeletal - Knee,1.0
lateral collateral ligament sprain claimed ankle,8991,Musculoskeletal - Ankle,0.99
migraine headaches,9007,Neurological other System,0.71
lumbosacral strain claimed lumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
instability knee status post meniscectomy,8997,Musculoskeletal - Knee,0.98
sleep issues,8989,Mental Disorders,0.6
anal fissures,8968,Digestive,0.53
tinnitus ptsd foot hearing loss,3140,Hearing Loss,0.98
alopecia like symptoms ankles,9016,Skin,0.64
sleep insomina,8989,Mental Disorders,0.6
post traumatic stress disorder depressive disorder recurrent claimed include anxiety,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.6
cluster headaches claimed migraine,9007,Neurological other System,0.73
dysthmic disorder,8989,Mental Disorders,0.86
bereavement,8989,Mental Disorders,0.1
alcohol dependence,8989,Mental Disorders,0.7
aspiration,8989,Mental Disorders,0.1
velopharyngeal insufficiency,8979,Heart/Veins/Arteries,0.19
