text_to_classify,expected_classification,expected_classification_label,prediction,prediction_label,is_accurate
sleep apnea,9012,Respiratory,9012,Respiratory,True
"shoulder replacement (shoulder arthroplasty), right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
pes planus,8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
"KNEE CONDITION, BILATERAL",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
back low,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"knee strain or sprain, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
hip,8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"hip sprain, left",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"shoulder strain, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
hyperthyroidism (overactive thyroid),8973,Endocrine,8973,Endocrine,True
"knee replacement (knee arthroplasty), bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
acne,9016,Skin,9016,Skin,True
deviated septum,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
colorectal cancer or colon cancer,8932,Cancer - Digestive,8932,Cancer - Digestive,True
dry eye syndrome,8974,Eye (Vision),8974,Eye (Vision),True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"ankylosis in shoulder, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"bursitis in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"bunions (hallux valgus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
coronary artery disease (CAD or arteriosclerotic heart disease),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"basal cell carcinoma of the skin, head or neck",1250,Cancer - Skin,1250,Cancer - Skin,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"degenerative arthritis (osteoarthritis) in shoulder, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
ventral hernia (hernia in abdomen),8968,Digestive,8968,Digestive,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"radiculopathy, bilateral upper extremities",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
"tendinosis in hand or fingers, right",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
"tendinosis in hand or fingers, left",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
"knee or patellar dislocation, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"carpal tunnel syndrome, left",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"carpal tunnel syndrome, right",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
Hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
Tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
Bell's Palsy,9007,Neurological other System,9007,Neurological other System,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
wrist strain,9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
knee strain,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
elbow strain,8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
lumbar strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"bursitis in foot, right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
"tendonitis (tendinitis) in hand or fingers, right",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
somatic symptom disorder (SSD),8989,Mental Disorders,8989,Mental Disorders,True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
LUMBAR STRAIN,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
sleep apnea,9012,Respiratory,9012,Respiratory,True
asthma,9012,Respiratory,9012,Respiratory,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
erectile dysfunction,8975,Genitourinary,8975,Genitourinary,True
ankle sprain,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"shoulder dislocation, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
low back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"non-diabetic peripheral neuropathy, left lower extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
PTSD,8989,Mental Disorders,8989,Mental Disorders,True
"hip sprain, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
jaw,8967,Dental and Oral,8967,Dental and Oral,True
ringing ears,3140,Hearing Loss,3140,Hearing Loss,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
hip,8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
pes planus,8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
shoulder,9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
Hypertension,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
Erectile Dysfunction,8975,Genitourinary,8975,Genitourinary,True
neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
sensorineural hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"shoulder strain, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
psoriasis,9016,Skin,9016,Skin,True
"bursitis in shoulder, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
Sleep Apnea,9012,Respiratory,9012,Respiratory,True
Neck Strain,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
High Blood Pressure,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
digestive,8968,Digestive,8968,Digestive,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
Sinusitis,9012,Respiratory,9012,Respiratory,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
plantar fasciitis,8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
Tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
"knee condition, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"Hand condition, right",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
Sinus Condition,9012,Respiratory,9012,Respiratory,True
Tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
PTSD,8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
depression,8989,Mental Disorders,8989,Mental Disorders,True
"diabetic peripheral neuropathy, bilateral lower extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
fibromyalgia,9007,Neurological other System,9007,Neurological other System,True
hysterectomy (removal of uterus),8978,Gynecological,8978,Gynecological,True
endometriosis,8978,Gynecological,8978,Gynecological,True
ovarian cysts,8951,Cyst/Benign Growth - Gynecological,8951,Cyst/Benign Growth - Gynecological,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
Sinus Condition,9012,Respiratory,9012,Respiratory,True
"SLAP tear (superior labral anterior to posterior tear), right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"shoulder dislocation, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
pulmonary fibrosis,9012,Respiratory,9012,Respiratory,True
"tendonitis (tendinitis) in hand or fingers, right",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"bursitis in shoulder, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"ankylosis in hip, right",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"knee instability, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
Diabetes,8973,Endocrine,8973,Endocrine,True
"Ankle condition, bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"Wrist condition, bilateral",9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
"Knee condition, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"Elbow condition, bilateral",8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
Depression,8989,Mental Disorders,8989,Mental Disorders,True
anxiety,8989,Mental Disorders,8989,Mental Disorders,True
PTSD,8989,Mental Disorders,8989,Mental Disorders,True
knee instability,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
Sleep Apnea,9012,Respiratory,9012,Respiratory,True
Headaches,9007,Neurological other System,9007,Neurological other System,True
Hypertension,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
Squamous Cell Carcinoma of the Skin,1250,Cancer - Skin,1250,Cancer - Skin,True
"Knee Condition, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
Coronary Artery Disease,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
Hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
Tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
anxiety condition,8989,Mental Disorders,8989,Mental Disorders,True
"visual impairment, including blurry vision, blindness and double vision",8974,Eye (Vision),8974,Eye (Vision),True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
loss of teeth due to bone loss,8967,Dental and Oral,8967,Dental and Oral,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
Headache,9007,Neurological other System,9007,Neurological other System,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"Ankle Condition, Bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
obsessive compulsive disorder (OCD),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
"shoulder strain, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
costochondritis,249482,Musculoskeletal - Bones,249482,Musculoskeletal - Bones,True
"carpal tunnel syndrome, right",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
Tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
Sinusitis,9012,Respiratory,9012,Respiratory,True
GERD,8968,Digestive,8968,Digestive,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
High blood pressure,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
PTSD,8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
PTSD,8989,Mental Disorders,8989,Mental Disorders,True
Tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
Adjustment Disorder,8989,Mental Disorders,8989,Mental Disorders,True
lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
Chronic Bronchitis,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
Tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
