# rows of data: 5000,  
# @contention_text,@classification_code
"bursitis in knee, bilateral",8997
PTSD (post-traumatic stress disorder),8989
"plantar fasciitis, bilateral",8994
"bunions (hallux valgus), bilateral",8994
tinnitus (ringing or hissing in ears),3140
hypertension (high blood pressure),8979
sleep apnea,9012
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
chronic sinusitis,9012
coronary artery disease (CAD or arteriosclerotic heart disease),8979
"basal cell carcinoma of the skin, head or neck",1250
hypertension (high blood pressure),8979
"degenerative arthritis (osteoarthritis) in shoulder, right",9002
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
hearing loss,3140
lower back strain (lumbosacral strain),8998
migraines (headaches),9007
ventral hernia (hernia in abdomen),8968
GERD (gastroesophageal reflux disease),8968
"radiculopathy, bilateral upper extremities",8999
chronic sinusitis,9012
"tendinosis in hand or fingers, right",8995
"tendinosis in hand or fingers, left",8995
"knee or patellar dislocation, bilateral",8997
sleep apnea,9012
"carpal tunnel syndrome, left",9006
"carpal tunnel syndrome, right",9006
neck strain (cervical strain),8999
lower back strain (lumbosacral strain),8998
PTSD (post-traumatic stress disorder),8989
Hearing loss,3140
Tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
Bell's Palsy,9007
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
PTSD (post-traumatic stress disorder),8989
"flatfoot (pes planus), bilateral",8994
"plantar fasciitis, bilateral",8994
unmapped contention text ['wrist strain'],9004
unmapped contention text ['knee strain'],8997
unmapped contention text ['elbow strain'],8993
lumbar strain,8998
tinnitus (ringing or hissing in ears),3140
GERD (gastroesophageal reflux disease),8968
irritable bowel syndrome (IBS),8968
migraines (headaches),9007
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
"bursitis in foot, right",8994
hypertension (high blood pressure),8979
generalized anxiety disorder (GAD),8989
migraines (headaches),9007
irritable bowel syndrome (IBS),8968
"tendonitis (tendinitis) in hand or fingers, right",8995
lower back strain (lumbosacral strain),8998
generalized anxiety disorder (GAD),8989
migraines (headaches),9007
depression (major depressive disorder),8989
somatic symptom disorder (SSD),8989
adjustment disorder,8989
generalized anxiety disorder (GAD),8989
LUMBAR STRAIN,8998
neck strain (cervical strain),8999
GERD (gastroesophageal reflux disease),8968
migraines (headaches),9007
"radiculopathy, bilateral lower extremities",8998
sleep apnea,9012
asthma,9012
unmapped contention text ['ankle'],8991
unmapped contention text ['erectile dysfunction'],8975
unmapped contention text ['ankle sprain'],8991
"shoulder dislocation, right",9002
unmapped contention text ['low back'],8998
"non-diabetic peripheral neuropathy, left lower extremities",9006
"plantar fasciitis, bilateral",8994
hypertension (high blood pressure),8979
PTSD,8989
"hip sprain, bilateral",8996
unmapped contention text ['lower back'],8998
unmapped contention text ['jaw'],8967
unmapped contention text ['ringing ears'],3140
hypertension (high blood pressure),8979
unmapped contention text ['hip'],8996
"plantar fasciitis, bilateral",8994
unmapped contention text ['pes planus'],8994
unmapped contention text ['shoulder'],9002
Hypertension,8979
Erectile Dysfunction,8975
unmapped contention text ['neck'],8999
unmapped contention text ['knee'],8997
unmapped contention text ['sensorineural hearing loss'],3140
generalized anxiety disorder (GAD),8989
"shoulder strain, right",9002
hearing loss,3140
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['psoriasis'],9016
"bursitis in shoulder, left",9002
Sleep Apnea,9012
Neck Strain,8999
High Blood Pressure,8979
sleep apnea,9012
unmapped contention text ['digestive'],8968
unmapped contention text ['knee'],8997
Sinusitis,9012
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['plantar fasciitis'],8994
Tinnitus,3140
"knee condition, right",8997
"Hand condition, right",8995
Sinus Condition,9012
Tinnitus,3140
PTSD,8989
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['depression'],8989
"diabetic peripheral neuropathy, bilateral lower extremities",9006
unmapped contention text ['hearing loss'],3140
unmapped contention text ['tinnitus'],3140
GERD (gastroesophageal reflux disease),8968
fibromyalgia,9007
hysterectomy (removal of uterus),8978
endometriosis,8978
ovarian cysts,8951
generalized anxiety disorder (GAD),8989
migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
PTSD (post-traumatic stress disorder),8989
GERD (gastroesophageal reflux disease),8968
Sinus Condition,9012
"SLAP tear (superior labral anterior to posterior tear), right",9002
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
GERD (gastroesophageal reflux disease),8968
generalized anxiety disorder (GAD),8989
"shoulder dislocation, left",9002
pulmonary fibrosis,9012
"tendonitis (tendinitis) in hand or fingers, right",8995
neck strain (cervical strain),8999
PTSD (post-traumatic stress disorder),8989
"bursitis in shoulder, left",9002
"ankylosis in hip, right",8996
unmapped contention text ['ankle'],8991
"knee instability, left",8997
Diabetes,8973
"Ankle condition, bilateral",8991
"Wrist condition, bilateral",9004
"Knee condition, bilateral",8997
"Elbow condition, bilateral",8993
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
Depression,8989
unmapped contention text ['anxiety'],8989
PTSD,8989
unmapped contention text ['knee instability'],8997
unmapped contention text ['ankle'],8991
Sleep Apnea,9012
Headaches,9007
Hypertension,8979
Squamous Cell Carcinoma of the Skin,1250
"Knee Condition, bilateral",8997
Coronary Artery Disease,8979
Hearing loss,3140
Tinnitus,3140
sleep apnea,9012
anxiety condition,8989
"visual impairment, including blurry vision, blindness and double vision",8974
hearing loss,3140
loss of teeth due to bone loss,8967
PTSD (post-traumatic stress disorder),8989
Headache,9007
GERD (gastroesophageal reflux disease),8968
"Ankle Condition, Bilateral",8991
irritable bowel syndrome (IBS),8968
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
irritable bowel syndrome (IBS),8968
obsessive compulsive disorder (OCD),8989
migraines (headaches),9007
neck strain (cervical strain),8999
erectile dysfunction (ED),8975
"shoulder strain, bilateral",9002
hearing loss,3140
"knee instability, bilateral",8997
"plantar fasciitis, bilateral",8994
generalized anxiety disorder (GAD),8989
"chronic rhinitis, allergic or non-allergic",9012
chronic sinusitis,9012
lower back strain (lumbosacral strain),8998
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
costochondritis,249482
"carpal tunnel syndrome, right",9006
irritable bowel syndrome (IBS),8968
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
generalized anxiety disorder (GAD),8989
adjustment disorder,8989
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
Tinnitus,3140
Sinusitis,9012
GERD,8968
hearing loss,3140
adjustment disorder,8989
High blood pressure,8979
PTSD,8989
generalized anxiety disorder (GAD),8989
unmapped contention text ['knee'],8997
PTSD,8989
Tinnitus,3140
"shoulder strain, left",9002
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
sleep apnea,9012
generalized anxiety disorder (GAD),8989
GERD (gastroesophageal reflux disease),8968
erectile dysfunction (ED),8975
Adjustment Disorder,8989
unmapped contention text ['lower back'],8998
Chronic Bronchitis,9012
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
hearing loss,3140
Tinnitus (ringing or hissing in ears),3140
Migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
"plantar fasciitis, bilateral",8994
PTSD (post-traumatic stress disorder),8989
hypertension (high blood pressure),8979
sleep apnea,9012
hearing loss,3140
"degenerative arthritis (osteoarthritis) in hand or fingers, right",8995
"degenerative arthritis (osteoarthritis) in hand or fingers, left",8995
generalized anxiety disorder (GAD),8989
"knee strain or sprain, right",8997
"knee strain or sprain, left",8997
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
anxiety condition,8989
primary anemia,8981
Traumatic Brain Injury,9020
Tinnitus,3140
migraine,9007
sleep apnea,9012
PTSD,8989
unmapped contention text ['ankle'],8991
High Blood Pressure,8979
"ankylosis in shoulder, bilateral",9002
neck strain (cervical strain),8999
neck sprain (cervical sprain),8999
"hip impingement (femoroacetabular impingement or FAI), right",8996
"hip impingement (femoroacetabular impingement or FAI), left",8996
"hip impingement (femoroacetabular impingement or FAI), bilateral",8996
"spinal arthritis, back",8998
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
lower back strain (lumbosacral strain),8998
lower back sprain (lumbosacral sprain),8998
migraines (headaches),9007
"carpal tunnel syndrome, bilateral",9006
endometriosis,8978
hypertension (high blood pressure),8979
asthma,9012
unmapped contention text ['knee strain'],8997
generalized anxiety disorder (GAD),8989
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006
erectile dysfunction (ED),8975
"shoulder dislocation, bilateral",9002
"shoulder strain, bilateral",9002
adjustment disorder,8989
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
chronic fatigue syndrome,8986
"trigger finger, right",8995
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
adjustment disorder,8989
rhinitis,9012
eczema,9016
unmapped contention text ['lower back'],8998
unmapped contention text ['neck'],8999
unmapped contention text ['shoulder'],9002
unmapped contention text ['depression'],8989
unmapped contention text ['anxiety'],8989
coronary artery disease (CAD or arteriosclerotic heart disease),8979
sleep apnea,9012
erectile dysfunction (ED),8975
depression (major depressive disorder),8989
sleep apnea,9012
"temporomandibular disorder, including TMJ",249481
"shoulder strain, left",9002
GERD (gastroesophageal reflux disease),8968
generalized anxiety disorder (GAD),8989
coronary artery disease (CAD or arteriosclerotic heart disease),8979
hypertension (high blood pressure),8979
prostate cancer,8935
premature ventricular contractions,8979
sleep apnea,9012
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
hypertension (high blood pressure),8979
"SLAP tear (superior labral anterior to posterior), left",9002
Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998
"bursitis in elbow, bilateral",8993
chronic laryngitis,9012
tinnitus (ringing or hissing in ears),3140
"bunions (hallux valgus), bilateral",8994
"dysphagia (difficulty swallowing), not associated with neurological disorder",8968
GERD (gastroesophageal reflux disease),8968
"hip condition, left",8996
"foot condition, left",8994
Musculoskeletal - Bones,249482
"hernia, hiatal",8968
"temporomandibular disorder, including TMJ",249481
"knee strain or sprain, bilateral",8997
"plantar fasciitis, right",8994
hypothyroidism (underactive thyroid),8973
hypertension (high blood pressure),8979
hyperhidrosis (excessive sweating),9016
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
"shoulder strain, left",9002
Sleep apnea,9012
migraines (headaches),9007
"knee instability, bilateral",8997
tinnitus (ringing or hissing in ears),3140
lower back sprain (lumbosacral sprain),8998
depression (major depressive disorder),8989
"stress fracture in leg, left",8997
PTSD (post-traumatic stress disorder),8989
neck strain (cervical strain),8999
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
"ankylosis in knee, right",8997
tinnitus (ringing or hissing in ears),3140
irritable bowel syndrome (IBS),8968
unmapped contention text ['ankle'],8991
unmapped contention text ['knee'],8997
unmapped contention text ['female sexual arousal disorder fsad'],8978
GERD (gastroesophageal reflux disease),8968
unmapped contention text ['urticaria'],9016
Migraines,9007
sleep apnea,9012
"Hip condition, right",8996
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
hearing loss,3140
migraines (headaches),9007
depression (major depressive disorder),8989
illness anxiety disorder (hypochondria),8989
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['knee'],8997
unmapped contention text ['knee'],8997
tinnitus (ringing or hissing in ears),3140
tachycardia,8979
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995
migraines (headaches),9007
Neck strain,8999
unmapped contention text ['eye'],8974
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
"carpal tunnel syndrome, right",9006
"carpal tunnel syndrome, left",9006
unmapped contention text ['ankle'],8991
unmapped contention text ['ankle'],8991
unmapped contention text ['knee'],8997
unmapped contention text ['knee'],8997
depression (major depressive disorder),8989
unmapped contention text ['anxiety'],8989
PTSD (post-traumatic stress disorder),8989
deviated septum,9012
cervical spinal stenosis (narrowing of spinal canal in neck),8999
alopecia,9016
migraines (headaches),9007
"radiculopathy, right upper extremities",8999
"radiculopathy, left upper extremities",8999
"intervertebral disc syndrome (IVDS), back",8998
"intervertebral disc syndrome (IVDS), neck",8999
cervical spinal stenosis (narrowing of spinal canal in neck),8999
urinary incontinence (loss of bladder control),8975
hemorrhoids,8968
irritable bowel syndrome (IBS),8968
PTSD (post-traumatic stress disorder),8989
"flatfoot (pes planus), bilateral",8994
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
"degenerative arthritis (osteoarthritis) in knee, right",8997
lower back strain (lumbosacral strain),8998
adjustment disorder,8989
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
migraines (headaches),9007
"patellofemoral pain syndrome, bilateral",8997
"diabetes, type 1 or type 2",8973
sleep apnea,9012
Hypertension,8979
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['low back'],8998
"hammer toe, right",8994
"hallux rigidus (big toe arthritis), right",8994
"degenerative arthritis (osteoarthritis) in hip, right",8996
"radiculopathy, bilateral upper extremities",8999
GERD (gastroesophageal reflux disease),8968
chronic sinusitis,9012
"chronic rhinitis, allergic or non-allergic",9012
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['neck'],8999
generalized anxiety disorder (GAD),8989
depression,8989
sleep apnea,9012
sleep apnea,9012
"plantar fasciitis, bilateral",8994
prostate cancer,8935
generalized anxiety disorder (GAD),8989
"scars, head, face or neck",9014
"shin splints, bilateral",8997
GERD (gastroesophageal reflux disease),8968
obsessive compulsive disorder (OCD),8989
depression (major depressive disorder),8989
female sexual arousal disorder (FSAD),8978
bipolar disorder,8989
"ankle sprain, left",8991
adjustment disorder,8989
acne,9016
migraines (headaches),9007
hypothyroidism (underactive thyroid),8973
hypertension (high blood pressure),8979
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
"patellofemoral pain syndrome, bilateral",8997
"knee instability, left",8997
"ankle sprain, left",8991
"wrist sprain, left",9004
"hip sprain, right",8996
"tendonitis (tendinitis) in hand or fingers, bilateral",8995
"degenerative arthritis (osteoarthritis) in wrist, bilateral",9004
generalized anxiety disorder (GAD),8989
PTSD (post-traumatic stress disorder),8989
depression (major depressive disorder),8989
"varicocele, left",8975
costochondritis,249482
enlarged prostate (benign prostatic hyperplasia or BPH),8975
athlete's foot (tinea pedis),9016
tachycardia,8979
hypertension (high blood pressure),8979
GERD (gastroesophageal reflux disease),8968
erectile dysfunction (ED),8975
hemorrhoids,8968
"knee condition, bilateral",8997
"hip condition, bilateral",8996
"wrist condition, bilateral",9004
"shoulder condition, bilateral",9002
"chronic rhinitis, allergic or non-allergic",9012
hearing loss,3140
migraines (headaches),9007
hypothyroidism (underactive thyroid),8973
lower back sprain (lumbosacral sprain),8998
"knee instability, bilateral",8997
Hypertension (high blood pressure),8979
sleep apnea,9012
"claw foot (pes cavus), bilateral",8994
chronic obstructive pulmonary disease (COPD),9012
tinnitus (ringing or hissing in ears),3140
illness anxiety disorder (hypochondria),8989
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996
"degenerative arthritis (osteoarthritis) in shoulder, bilateral",9002
GERD (gastroesophageal reflux disease),8968
neck strain (cervical strain),8999
"intervertebral disc syndrome (IVDS), back",8998
unmapped contention text ['foot'],8994
"knee instability, left",8997
"hip sprain, bilateral",8996
chronic fatigue syndrome,8986
unmapped contention text ['hearing loss'],3140
unmapped contention text ['tinnitus'],3140
"radiculopathy, bilateral lower extremities",8998
unmapped contention text ['hip'],8996
chronic sinusitis,9012
chronic fatigue syndrome,8986
hemorrhoids,8968
sleep apnea,9012
"diabetic peripheral neuropathy, bilateral lower extremities",9006
"plantar fasciitis, left",8994
"diabetes, type 1 or type 2",8973
hypertension (high blood pressure),8979
lower back strain (lumbosacral strain),8998
hypertension (high blood pressure),8979
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
sleep apnea,9012
migraines,9007
unmapped contention text ['shoulder'],9002
"degenerative arthritis (osteoarthritis) in shoulder, left",9002
Hearing loss,3140
Tinnitus,3140
"ankylosis in ankle, right",8991
"tendonitis (tendinitis) in foot, right",8994
sleep apnea,9012
"varicose veins in leg, bilateral",8987
sleep apnea,9012
"deep vein thrombosis (DVT) in leg, left",8987
"plantar fasciitis, bilateral",8994
hypertension (high blood pressure),8979
"tennis elbow (lateral epicondylitis), left",8993
cervical spinal stenosis (narrowing of spinal canal in neck),8999
diabetic retinopathy,8974
sleep apnea,9012
PTSD (post-traumatic stress disorder),8989
urinary incontinence (loss of bladder control),8975
"flatfoot (pes planus), bilateral",8994
"chronic rhinitis, allergic or non-allergic",9012
erectile dysfunction (ED),8975
lower back strain (lumbosacral strain),8998
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
"rotator cuff tear, right",9002
"rotator cuff tear, left",9002
hearing loss,3140
sleep apnea,9012
unmapped contention text ['erectile dysfunction'],8975
unmapped contention text ['urinary incontinence'],8975
unmapped contention text ['shoulder'],9002
unmapped contention text ['shoulder'],9002
unmapped contention text ['foot'],8994
unmapped contention text ['foot'],8994
unmapped contention text ['ankle'],8991
unmapped contention text ['ankle'],8991
unmapped contention text ['knee'],8997
unmapped contention text ['knee'],8997
unmapped contention text ['hip'],8996
unmapped contention text ['hip'],8996
lower back sprain (lumbosacral sprain),8998
"ankylosis in elbow, bilateral",8993
"ankylosis in ankle, bilateral",8991
"chronic rhinitis, allergic or non-allergic",9012
chronic sinusitis,9012
hearing loss,3140
sleep apnea,9012
"spinal arthritis, back",8998
sleep apnea,9012
"bunions (hallux valgus), bilateral",8994
GERD (gastroesophageal reflux disease),8968
Migraines,9007
Depression,8989
tinnitus (ringing or hissing in ears),3140
hypertension (high blood pressure),8979
neck sprain (cervical sprain),8999
PTSD (post-traumatic stress disorder),8989
lower back strain (lumbosacral strain),8998
depression (major depressive disorder),8989
unmapped contention text ['anxiety'],8989
traumatic brain injury (TBI),9020
hypertension (high blood pressure),8979
"degenerative arthritis (osteoarthritis) in knee, right",8997
"degenerative arthritis (osteoarthritis) in knee, left",8997
lower back sprain (lumbosacral sprain),8998
"shoulder strain, right",9002
"shoulder strain, left",9002
migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
depression (major depressive disorder),8989
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
"degenerative arthritis (osteoarthritis) in ankle, bilateral",8991
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996
"degenerative arthritis (osteoarthritis) in shoulder, bilateral",9002
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995
rheumatoid arthritis,8992
hemorrhoids,8968
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
migraines (headaches),9007
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
lower back strain (lumbosacral strain),8998
"spinal arthritis, back",8998
"degenerative arthritis (osteoarthritis) in hip, right",8996
"degenerative arthritis (osteoarthritis) in knee, left",8997
"knee strain or sprain, bilateral",8997
tinnitus (ringing or hissing in ears),3140
"temporomandibular disorder, including TMJ",249481
ulcerative colitis,8968
migraines (headaches),9007
GERD (gastroesophageal reflux disease),8968
"shin splints, bilateral",8997
"knee strain or sprain, bilateral",8997
"hip sprain, bilateral",8996
migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
"chronic rhinitis, allergic or non-allergic",9012
chronic sinusitis,9012
coronary artery disease (CAD or arteriosclerotic heart disease),8979
hypertension (high blood pressure),8979
"diabetes, type 1 or type 2",8973
unmapped contention text ['shoulder'],9002
unmapped contention text ['knee'],8997
unmapped contention text ['knee'],8997
unmapped contention text ['shoulder'],9002
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
"greater trochanteric pain syndrome (lateral hip pain), left",8996
chronic sinusitis,9012
"metatarsalgia (pain in ball of foot), bilateral",8994
PTSD (post-traumatic stress disorder),8989
"hallux rigidus (big toe arthritis), bilateral",8994
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
tinnitus (ringing or hissing in ears),3140
athlete's foot (tinea pedis),9016
unmapped contention text ['ankle'],8991
"shin splints, left",8997
hypertension (high blood pressure),8979
"temporomandibular disorder, including TMJ",249481
unmapped contention text ['tinnitus'],3140
unmapped contention text ['hearing loss'],3140
TBI,9020
migraines (headaches),9007
PTSD,8989
Hearing loss,3140
Tinnitus,3140
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
Alcohol abuse,8989
unmapped contention text ['fallen arches'],8994
acne,9016
GERD (gastroesophageal reflux disease),8968
"bursitis in knee, bilateral",8997
"bursitis in foot, bilateral",8994
"bursitis in wrist, bilateral",9004
unmapped contention text ['bursitis shoulder'],9002
"bursitis in elbow, bilateral",8993
"bursitis in ankle, bilateral",8991
hypertension,8979
sleep apnea,9012
unmapped contention text ['tooth'],8967
unmapped contention text ['anxiety'],8989
depression,8989
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
"shoulder dislocation, bilateral",9002
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
"degenerative arthritis (osteoarthritis) in elbow, bilateral",8993
"degenerative arthritis (osteoarthritis) in ankle, bilateral",8991
"plantar warts (foot warts), bilateral",9016
eczema (atopic dermatitis),9016
alopecia,9016
unmapped contention text ['hip'],8996
sinusitis,9012
"chronic rhinitis, allergic or non-allergic",9012
dry eye syndrome,8974
"temporomandibular disorder, including TMJ",249481
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['neck'],8999
asthma,9012
Gout,8994
irritable bowel syndrome (IBS),8968
unmapped contention text ['bladder'],8975
Lumbar strain,8998
lower back sprain (lumbosacral sprain),8998
erectile dysfunction (ED),8975
unmapped contention text ['knee'],8997
"shin splints, bilateral",8997
unmapped contention text ['ankle'],8991
"plantar fasciitis, bilateral",8994
tinnitus (ringing or hissing in ears),3140
erectile dysfunction (ED),8975
"chronic rhinitis, allergic or non-allergic",9012
chronic sinusitis,9012
hypertension (high blood pressure),8979
Sleep apnea,9012
migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
"interstitial lung disease (ILD), including asbestosis",9012
hearing loss,3140
chronic sinusitis,9012
hypertension (high blood pressure),8979
"degenerative arthritis (osteoarthritis) in ankle, right",8991
"degenerative arthritis (osteoarthritis) in knee, left",8997
"knee instability, left",8997
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['depression'],8989
unmapped contention text ['anxiety'],8989
unmapped contention text ['migraines headaches'],9007
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['hearing loss'],3140
"flatfoot (pes planus), bilateral",8994
"plantar fasciitis, bilateral",8994
unmapped contention text ['shoulder strain'],9002
unmapped contention text ['wrist strain'],9004
unmapped contention text ['elbow strain'],8993
GERD (gastroesophageal reflux disease),8968
irritable bowel syndrome (IBS),8968
migraines (headaches),9007
depression (major depressive disorder),8989
"radiculopathy, bilateral upper extremities",8999
"radiculopathy, bilateral lower extremities",8998
PTSD (post-traumatic stress disorder),8989
dry eye syndrome,8974
"degenerative arthritis (osteoarthritis) in hip, right",8996
asthma,9012
unmapped contention text ['knee instability'],8997
unmapped contention text ['knee instability'],8997
GERD (gastroesophageal reflux disease),8968
hypertension (high blood pressure),8979
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
"diabetes, type 1 or type 2",8973
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
"spinal arthritis, back",8998
hypertension (high blood pressure),8979
"hammer toe, bilateral",8994
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
panic disorder,8989
migraines (headaches),9007
unmapped contention text ['ankle'],8991
unmapped contention text ['knee'],8997
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996
unmapped contention text ['hand'],8995
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
"ankylosis in hand or fingers, bilateral",8995
"degenerative arthritis (osteoarthritis) in shoulder, left",9002
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996
middle back strain (thoracic strain),8998
lower back strain (lumbosacral strain),8998
neck strain (cervical strain),8999
sleep apnea,9012
PTSD (post-traumatic stress disorder),8989
hearing loss,3140
arrhythmia (irregular heartbeat),8979
hypertension (high blood pressure),8979
