Main condition/term,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Location options,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term updated,Term removed,Autosuggestion updated,Classification updated,Current Notes,Proposed update to DC to Classification mapping March 2024,Comments - v1.0 review,,lookup CC in DC mapping,CC matches CC used in DC to CC mapping,lookup DC code,lookup DC name,lookup DC code,lookup by name,lookup DC code,lookup DC name,,
cancer - lip,,,,,,,,,,,,,,,,,,,8931,Cancer - Dental and Oral,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
hypopharyngeal cancer,,,,,,,,,,,,,hypopharyngeal cancer,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",DBQ DENTAL Oral and Dental,yes,Active,Active,v1.1,,,,,Only listed under oral cancer in DBQ index,,,,8931,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
jaw cancer,,,,,,,,,,,,,jaw cancer,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",DBQ DENTAL Oral and Dental,yes,Active,Active,v1.1,,,,,,,,,8931,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
oral cavity squamous cell carcinoma,,,,,,,,,,,,,oral cavity squamous cell carcinoma,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",DBQ DENTAL Oral and Dental,yes,Active,Active,v1.1,,,,,,,,,8931,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
paranasal sinus or nasal cavity cancer,paranasal sinus cancer,nasal cavity cancer,,,paranasal sinus and nasal cavity cancer,,,,,,,,paranasal sinus or nasal cavity cancer,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",DBQ DENTAL Oral and Dental,yes,Active,Active,v1.1,v1.2,,"v1.2 Updated term to replace ""and"" with ""or""",,,,,,8931,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
salivary gland cancer,,,,,,,,,,,,,salivary gland cancer,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",DBQ DENTAL Oral and Dental,yes,Active,Active,v1.1,,,,,,,,,8931,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
tongue cancer,,,,,cancer - tongue,,,,,,,,tongue cancer,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",DBQ DENTAL Oral and Dental,yes,Active,Active,v1.1,,,,,,,,,8931,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
anal cancer,,,,,,,,,,,,,anal cancer,,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Rectum & Anus,yes,Active,Active,v1.0,,,,,,,,,8932,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7343
Cancer - Digestive,,,,,cancer - gastrointestinal tract,,,,,,,,,,,,,,8932,Cancer - Digestive,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
cancer - gall bladder,,,,,,,,,,,,,,,,,,,8932,Cancer - Digestive,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
mesotheliomas of peritoneum,,,,,,,,,,,,,,,,,,,8932,Cancer - Digestive,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
colorectal cancer or colon cancer,colon cancer,colorectal cancer,,,cancer - colon,cancer - rectum,,,,,,,colorectal cancer or colon cancer,,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Intestinal (other than surgical or infectious),yes,Active,Active,v1.0,,,,,,,,,8932,yes,No Match,No Match,7343,malignant growths of digestive system,No Match,No Match,,7343
esophageal cancer,,,,,,,,,,,,,esophageal cancer,,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Esophageal Disorders,yes,Active,Active,v1.0,,,,,,,,,8932,yes,No Match,No Match,No Match,No Match,7343,malignant growths of digestive system,,7343
"liver cancer, including hepatocellular carcinoma (HCC)",liver cancer,hepatocellular carcinoma,HCC,,cancer - liver,cancer - bile ducts,hepatocarcinoma,hepatoma,,,,,"liver cancer, including hepatocellular carcinoma (HCC)",,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Liver Conditions,yes,Active,Active,v1.0,,,,,,,,,8932,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7343
pancreatic cancer,,,,,cancer - pancreas,,,,,,,,pancreatic cancer,,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Gallbladder & Pancreas,yes,Active,Active,v1.0,,,,,,,,,8932,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7343
small intestine cancer,,,,,cancer - small intestine,,,,,,,,small intestine cancer,,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Intestinal (other than surgical or infectious),yes,Active,Active,v1.1,,,,,,,,,8932,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
stomach cancer,,,,,cancer - stomach,,,,,,,,stomach cancer,,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Stomach and Duodenum,yes,Active,Active,v1.0,,,,,,,,,8932,yes,7343,malignant growths of digestive system,No Match,No Match,No Match,No Match,,7343
ear cancer,,,,,Cancer - Ear Disease and Other Sense Organs,,,,,,,,ear cancer,,,,,,249468,Cancer - Ear Disease and Other Sense Organs,6208,malignant neoplasm of ear,DBQ ENT Ear (Including Vestibular and Infectious),yes,Active,Active,v1.1,,,,,,,,,249468,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
Cancer - Endocrine,,,,,,,,,,,,,,,,,,,8933,Cancer - Endocrine,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
thyroid cancer,,,,,cancer - thyroid,,,,,,,,thyroid cancer,,,,,,8933,Cancer - Endocrine,7914,malignant growth of the endocrine system,DBQ ENDO Thyroid & Parathyroid,yes,Active,Active,v1.1,,,,,,,,,8933,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
"eye cancer, including melanoma of the eye",,,,,Cancer - Eye (Vision),,,,,,,,"eye cancer, including melanoma of the eye",,,,,,8934,Cancer - Eye (Vision),6014,"malignant neoplasms of the eye, orbit, and adnexa (excluding skin)",DBQ OPHTH Eyes,yes,Active,Active,v1.1,,,,,,,,,8934,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
Cancer - Genitourinary,,,,,cancer - urogenital system (except prostate),,,,,,,,,,,,,,8935,Cancer - Genitourinary,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
bladder cancer,,,,,,,,,,,,,bladder cancer,,,,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Urinary Tract Conditions,yes,Active,Active,v1.0,,,,,,,,,8935,yes,No Match,No Match,No Match,No Match,7528,malignant growths of genitourinary system,,7528
kidney cancer (renal cancer),renal cancer,kidney cancer ,,,cancer - kidney,,,,,,,"left, right, bilateral","kidney cancer (renal cancer), right","kidney cancer (renal cancer), left","kidney cancer (renal cancer), bilateral",,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Kidney,yes,Active,Active,v1.0,v1.1,,Replaced with right/left/bilateral variations,Updated legacy classification,,,,,8935,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
penile cancer,,,,,,,,,,,,,penile cancer,,,,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Male Reproductive Organ,yes,Active,Active,v1.0,,,,,,,,,8935,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7528
prostate cancer,,,,,cancer - prostate,,,,,,,,prostate cancer,,,,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Male Reproductive Organ,yes,Active,Active,v1.0,,,,,,,,,8935,yes,7528,malignant growths of genitourinary system,No Match,No Match,No Match,No Match,,7528
testicular cancer,,,,,cancer - testicle,testicular cancer,,,,,,"left, right, bilateral","testicular cancer, right","testicular cancer, left","testicular cancer, bilateral",,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Male Reproductive Organ,yes,Active,Active,v1.0,v1.1,,Replaced with right/left/bilateral variations,,,,,,8935,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
ureteral cancer (ureter cancer),ureteral cancer,ureter cancer,,,cancer - ureters,cancer - urethra,cancer - urinary tract,,,,,,ureteral cancer (ureter cancer),,,,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Urinary Tract Conditions,no,Active,Active,v1.0,,,,,,,,,8935,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7528
Cancer - Gynecological,,,,,,,,,,,,,,,,,,,8937,Cancer - Gynecological,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
breast cancer,,,,,cancer - breast,comedocarcinoma,,,,,,"left, right, bilateral","breast cancer, right","breast cancer, left","breast cancer, bilateral",,,,8937,Cancer - Gynecological,7630,malignant neoplasms of the breast,DBQ GYN Breast,yes,Active,Active,v1.1,,,,,,,,,8937,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
cervical cancer,,,,,,,,,,,,,cervical cancer,,,,,,8937,Cancer - Gynecological,7627,malignant growths of gynecological system,DBQ GYN Gynecological,yes,Active,Active,v1.1,,,,,,,,,8937,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
ovarian cancer,,,,,cancer - ovarian,,,,,,,"left, right, bilateral","ovarian cancer, right","ovarian cancer, left","ovarian cancer, bilateral",,,,8937,Cancer - Gynecological,7627,malignant growths of gynecological system,DBQ GYN Gynecological,yes,Active,Active,v1.1,,,,,,,,,8937,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
uterine cancer,,,,,choriocarcinoma,,,,,,,,uterine cancer,,,,,,8937,Cancer - Gynecological,7627,malignant growths of gynecological system,DBQ GYN Gynecological,yes,Active,Active,v1.1,,,,,,,,,8937,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
vaginal cancer,,,,,,,,,,,,,vaginal cancer,,,,,,8937,Cancer - Gynecological,7627,malignant growths of gynecological system,DBQ GYN Gynecological,yes,Active,Active,v1.1,,,,,,,,,8937,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
vulvar cancer,,,,,,,,,,,,,vulvar cancer,,,,,,8937,Cancer - Gynecological,7627,malignant growths of gynecological system,DBQ GYN Gynecological,yes,Active,Active,v1.1,,,,,,,,,8937,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
Cancer - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,,,8938,Cancer - Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"vascular soft-tissue sarcoma, including angiosarcoma ",,,,,,,,,,,,"head or neck, extremities or trunk","vascular soft-tissue sarcoma, including angiosarcoma, head or neck ","vascular soft-tissue sarcoma, including angiosarcoma, extremities or trunk",,,,,8938,Cancer - Heart/Veins/Arteries,7123,soft-tissue sarcoma (of vascular origin),DBQ CARDIO Artery & Veins,"yes, if head or neck",Active,Active,v1.1,,,,,,,,,8979,no,No Match,No Match,No Match,No Match,No Match,No Match,,
Cancer - Hemic and Lymphatic,Cancer Hemic,Cancer Lymphatic,,,lymphomas,cancer - lymph nodes,,,,,,,,,,,,,8939,Cancer - Hemic and Lymphatic,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Hodgkin lymphoma,,,,,Hodgkin's disease,lymphogranulomatosis,,,,,,,Hodgkin lymphoma,,,,,,8939,Cancer - Hemic and Lymphatic,7709,Hodgkin's disease,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Active,Active,v1.0,,,,,,,,,8939,yes,7709,Hodgkin's disease,No Match,No Match,No Match,No Match,,7709
leukemia,,,,,acute nonlymphocytic leukemia,chronic lymphocytic leukemia,leukosarcoma,,,,,,leukemia,,,,,,8939,Cancer - Hemic and Lymphatic,7703,leukemia,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Active,Active,v1.0,,,,,,,,,8939,yes,7703,leukemia,No Match,No Match,No Match,No Match,,7703
multiple myeloma,,,,,myeloma,"myeloma, multiple",,,,,,"head or neck, extremities or trunk","multiple myeloma, head or neck","multiple myeloma, extremities or trunk",,,,,8939,Cancer - Hemic and Lymphatic,7712,multiple myeloma,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia","yes, if head or neck",Active,Active,v1.1,,,,,,,,,8939,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
non-Hodgkin lymphoma,,,,,Lymphoma - except Hodgkin's disease,Non-Hodgkin's lymphoma (NHL),lymphosarcoma,,,,,,non-Hodgkin lymphoma,,,,,,8939,Cancer - Hemic and Lymphatic,7715,non-Hodgkin's lymphoma,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Active,Active,v1.0,,,,,,,,,8939,yes,7715,non-Hodgkin's lymphoma,No Match,No Match,No Match,No Match,,7715
Cancer - Musculoskeletal - Ankle,,,,,,,,,,,,,,,,,,,249469,Cancer - Musculoskeletal - Ankle,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cancer - Musculoskeletal - Elbow,,,,,,,,,,,,,,,,,,,249470,Cancer - Musculoskeletal - Elbow,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cancer - Musculoskeletal - Foot,,,,,,,,,,,,,,,,,,,249472,Cancer - Musculoskeletal - Foot,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cancer - Musculoskeletal - Hand,,,,,,,,,,,,,,,,,,,249471,Cancer - Musculoskeletal - Hand,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cancer - Musculoskeletal - Hip,,,,,,,,,,,,,,,,,,,249474,Cancer - Musculoskeletal - Hip,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cancer - Musculoskeletal - Knee,,,,,,,,,,,,,,,,,,,249473,Cancer - Musculoskeletal - Knee,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cancer - Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,,,,,,,,,,,,,,,,,249475,Cancer - Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cancer - Musculoskeletal - Neck/Upper Back (Cervical Spine),,,,,,,,,,,,,,,,,,,249476,Cancer - Musculoskeletal - Neck/Upper Back (Cervical Spine),,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cancer - Musculoskeletal - Other,,,,,,,,,,,,,,,,,,,8940,Cancer - Musculoskeletal - Other,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"bone cancer, including osteosarcoma",bone cancer,osteosarcoma,,,,,,,,,,"head or neck, extremities or trunk","bone cancer, including osteosarcoma, head or neck","bone cancer, including osteosarcoma, extremities or trunk",,,,,8940,Cancer - Musculoskeletal - Other,5012,malignant growth of the bones,DBQ MUSC Bones and Other Skeletal Conditions,"yes, if head or neck",Active,Active,v1.1,,,,Contention Text Lookup v0.5,Compensation Service SMEs confirmed that this is the relevant DBQ.,,,,8940,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
Cancer - Musculoskeletal - Shoulder,,,,,,,,,,,,,,,,,,,249477,Cancer - Musculoskeletal - Shoulder,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cancer - Musculoskeletal - Wrist,,,,,,,,,,,,,,,,,,,249478,Cancer - Musculoskeletal - Wrist,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cancer - Musculoskeletal and Muscle Injuries,,,,,,,,,,,,,,,,,,,8941,Cancer - Musculoskeletal and Muscle Injuries,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"soft-tissue sarcoma of muscle, fat, or fibrous connective tissue",soft-tissue sarcoma of muscle,soft-tissue sarcoma of fat,soft-tissue sarcoma of fibrous connective tissue,,,,,,,,,"head or neck, extremities or trunk","soft-tissue sarcoma of muscle, fat, or fibrous connective tissue, head or neck","soft-tissue sarcoma of muscle, fat, or fibrous connective tissue, extremities or trunk",,,,,8941,Cancer - Musculoskeletal and Muscle Injuries,5329,"soft tissue sarcoma (of muscle, fat or fibrous connective tissue)",DBQ MUSC Muscle Injuries,"yes, if head or neck",Active,Active,v1.1,,,,,,,,,9005,no,No Match,No Match,No Match,No Match,No Match,No Match,,
Cancer - Neurological other System,,,,,,,,,,,,,,,,,,,8942,Cancer - Neurological other System,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"brain cancer, including glioblastoma",brain cancer,glioblastoma,,,cancer - brain,,,,,,,,"brain cancer, including glioblastoma",,,,,,8942,Cancer - Neurological other System,8002,malignant growth of the brain,DBQ NEURO Central Nervous System and Neuromuscular Diseases,yes,Active,Active,v1.1,,,,,,,,,8942,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
malignant tumor in spinal cord,,,,,,,,,,,,,malignant tumor in spinal cord,,,,,,8942,Cancer - Neurological other System,8021,malignant growth of the spinal cord,DBQ NEURO Central Nervous System and Neuromuscular Diseases,yes,Active,Active,v1.1,,,,,,,,,8942,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
nerve-related soft-tissue sarcoma,,,,,,,,,,,,"head or neck, extremities or trunk","nerve-related soft-tissue sarcoma, head or neck","nerve-related soft-tissue sarcoma, extremities or trunk",,,,,8942,Cancer - Neurological other System,8540,soft tissue sarcoma (neurogenic origin),DBQ NEURO Central Nervous System and Neuromuscular Diseases,"yes, if head or neck",Active,Active,v1.1,,,,,,,,,8942,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
Cancer - Respiratory,,,,,,,,,,,,,,,,,,,1230,Cancer - Respiratory,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
cancer - bronchus,,,,,,,,,,,,,,,,,,,1230,Cancer - Respiratory,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
laryngeal cancer (cancer of larynx),laryngeal cancer,cancer of larynx,,,cancer - larynx,,,,,,,,laryngeal cancer (cancer of larynx),,,,,,1230,Cancer - Respiratory,6819,malignant growths of the respiratory system,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,,,,,1230,yes,No Match,No Match,No Match,No Match,6819,malignant growths of the respiratory system,,6819
lung cancer,,,,,cancer - lung,,,,,,,,lung cancer,,,,,,1230,Cancer - Respiratory,6819,malignant growths of the respiratory system,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.0,,,,,,,,,1230,yes,6819,malignant growths of the respiratory system,No Match,No Match,No Match,No Match,,6819
nasopharyngeal cancer,,,,,,,,,,,,,nasopharyngeal cancer,,,,,,1230,Cancer - Respiratory,Multiple,Oral and Respiratory Cancer DC Group,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
oropharyngeal cancer,,,,,,,,,,,,,oropharyngeal cancer,,,,,,1230,Cancer - Respiratory,Multiple,Oral and Respiratory Cancer DC Group,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,"per DBQ index, required DBQ could be DENTAL Oral and Dental Conditions. But DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx, more specifically calls out the pharynx",,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
pharyngeal cancer (throat cancer),pharyngeal cancer,throat cancer,,,,,,,,,,,pharyngeal cancer (throat cancer),,,,,,1230,Cancer - Respiratory,Multiple,Oral and Respiratory Cancer DC Group,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,"per DBQ index, required DBQ could be DENTAL Oral and Dental Conditions. But DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx, more specifically calls out the pharynx",,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
trachea cancer (cancer of windpipe),trachea cancer,cancer of windpipe,,,cancer - trachea,,,,,,,,trachea cancer (cancer of windpipe),,,,,,1230,Cancer - Respiratory,6819,malignant growths of the respiratory system,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,,,,,1230,yes,No Match,No Match,No Match,No Match,No Match,No Match,,6819
Cancer - Skin,,,,,,,,,,,,,,,,,,,1250,Cancer - Skin,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
basal cell carcinoma of the skin,,,,,,,,,,,,"head or neck, extremities or trunk","basal cell carcinoma of the skin, head or neck","basal cell carcinoma of the skin, extremities or trunk",,,,,1250,Cancer - Skin,7818,malignant growths of the skin,DBQ DERM Skin Diseases,"yes, if head or neck",Active,Active,v1.1,,,,,,,,,1250,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
melanoma of the skin,,,,,,,,,,,,,melanoma of the skin,,,,,,1250,Cancer - Skin,7833,malignant melanoma,DBQ DERM Skin Diseases,yes,Active,Active,v1.1,,,,,,,,,1250,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
squamous cell carcinoma of the skin ,,,,,,,,,,,,"head or neck, extremities or trunk","squamous cell carcinoma of the skin, head or neck ","squamous cell carcinoma of the skin, extremities or trunk",,,,,1250,Cancer - Skin,7818,malignant growths of the skin,DBQ DERM Skin Diseases,"yes, if head or neck",Active,Active,v1.1,,,,,,,,,1250,yes,No Match,No Match,No Match,No Match,No Match,No Match,,
Cold Injury Residuals,,,,,,,,,,,,,,,,,,,8943,Cold Injury Residuals,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
frostbite in foot,,,,,,,,,,,,"left, right, bilateral","frostbite in foot, right","frostbite in foot, left","frostbite in foot, bilateral",,,,8943,Cold Injury Residuals,7122,residuals of cold injury,DBQ Cold injury Residuals,no,Active,Active,v1.0,,,,,,,,,8943,yes,7122,residuals of cold injury,No Match,No Match,No Match,No Match,,7122
frostbite in hand or fingers,frostbite in hand,frostbite in fingers,,,,,,,,,,"left, right, bilateral","frostbite in hand or fingers, right","frostbite in hand or fingers, left","frostbite in hand or fingers, bilateral",,,,8943,Cold Injury Residuals,7122,residuals of cold injury,DBQ Cold injury Residuals,no,Active,Active,v1.0,,,,,,,,,8943,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7122
immersion foot,,,,,,,,,,,,"left, right, bilateral","immersion foot, right","immersion foot, left","immersion foot, bilateral",,,,8943,Cold Injury Residuals,7122,residuals of cold injury,DBQ Cold injury Residuals,no,Active,Active,v1.0,,,,,,,,,8943,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7122
Competency,,,,,,,,,,,,,,,,,,,8944,Competency,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Dental and Oral,,,,,,,,,,,,,,,,,,,8945,Cyst/Benign Growth - Dental and Oral,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Digestive,,,,,,,,,,,,,,,,,,,8946,Cyst/Benign Growth - Digestive,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
